"long_dd","lat_dd","poccur","species","aquamaps_id"
-122.5,37.5,0.96,"Amphistichus argenteus","Fis-29623"
-122.5,37,1,"Amphistichus argenteus","Fis-29623"
-122,37,1,"Amphistichus argenteus","Fis-29623"
-122,36.5,1,"Amphistichus argenteus","Fis-29623"
-121.5,36.5,1,"Amphistichus argenteus","Fis-29623"
-121.5,36,1,"Amphistichus argenteus","Fis-29623"
-121,36,1,"Amphistichus argenteus","Fis-29623"
-121,35.5,1,"Amphistichus argenteus","Fis-29623"
-120.5,35,1,"Amphistichus argenteus","Fis-29623"
-120.5,34.5,1,"Amphistichus argenteus","Fis-29623"
-120,34.5,1,"Amphistichus argenteus","Fis-29623"
-120,34,1,"Amphistichus argenteus","Fis-29623"
-119.5,34,1,"Amphistichus argenteus","Fis-29623"
-119,34,1,"Amphistichus argenteus","Fis-29623"
-118.5,34,1,"Amphistichus argenteus","Fis-29623"
-118,34,1,"Amphistichus argenteus","Fis-29623"
-120,33.5,1,"Amphistichus argenteus","Fis-29623"
-119.5,33.5,1,"Amphistichus argenteus","Fis-29623"
-119,33.5,1,"Amphistichus argenteus","Fis-29623"
-118.5,33.5,1,"Amphistichus argenteus","Fis-29623"
-118,33.5,1,"Amphistichus argenteus","Fis-29623"
-117.5,33.5,1,"Amphistichus argenteus","Fis-29623"
-119.5,33,1,"Amphistichus argenteus","Fis-29623"
-119,33,1,"Amphistichus argenteus","Fis-29623"
-118.5,33,1,"Amphistichus argenteus","Fis-29623"
-118,33,1,"Amphistichus argenteus","Fis-29623"
-117.5,33,0.52,"Amphistichus argenteus","Fis-29623"
-119,32.5,0.29,"Amphistichus argenteus","Fis-29623"
-118.5,32.5,0.67,"Amphistichus argenteus","Fis-29623"
-118,32.5,1,"Amphistichus argenteus","Fis-29623"
-117.5,32.5,1,"Amphistichus argenteus","Fis-29623"
