"long_dd","lat_dd","poccur","species","aquamaps_id"
-124,44,0.35,"Atherinopsis californiensis","Fis-29687"
-124,43.5,0.53,"Atherinopsis californiensis","Fis-29687"
-124,43,0.65,"Atherinopsis californiensis","Fis-29687"
-124.5,42.5,0.79,"Atherinopsis californiensis","Fis-29687"
-124,42.5,0.78,"Atherinopsis californiensis","Fis-29687"
-124,42,0.92,"Atherinopsis californiensis","Fis-29687"
-124,41.5,0.89,"Atherinopsis californiensis","Fis-29687"
-124,41,0.97,"Atherinopsis californiensis","Fis-29687"
-124,40.5,0.95,"Atherinopsis californiensis","Fis-29687"
-124,40,0.97,"Atherinopsis californiensis","Fis-29687"
-123.5,39.5,1,"Atherinopsis californiensis","Fis-29687"
-123.5,39,1,"Atherinopsis californiensis","Fis-29687"
-123.5,38.5,1,"Atherinopsis californiensis","Fis-29687"
-123,38.5,0.92,"Atherinopsis californiensis","Fis-29687"
-123,38,0.98,"Atherinopsis californiensis","Fis-29687"
-122.5,38,0.47,"Atherinopsis californiensis","Fis-29687"
-122,38,0.21,"Atherinopsis californiensis","Fis-29687"
-123,37.5,0.79,"Atherinopsis californiensis","Fis-29687"
-122.5,37.5,0.16,"Atherinopsis californiensis","Fis-29687"
-122,37.5,0.07,"Atherinopsis californiensis","Fis-29687"
-122,37,0.43,"Atherinopsis californiensis","Fis-29687"
-122,36.5,0.84,"Atherinopsis californiensis","Fis-29687"
-121.5,36.5,0.65,"Atherinopsis californiensis","Fis-29687"
-121.5,36,1,"Atherinopsis californiensis","Fis-29687"
-121,36,0.81,"Atherinopsis californiensis","Fis-29687"
-121,35.5,1,"Atherinopsis californiensis","Fis-29687"
-120.5,35,1,"Atherinopsis californiensis","Fis-29687"
-120.5,34.5,1,"Atherinopsis californiensis","Fis-29687"
-120,34.5,1,"Atherinopsis californiensis","Fis-29687"
-120,34,1,"Atherinopsis californiensis","Fis-29687"
-119.5,34,1,"Atherinopsis californiensis","Fis-29687"
-119,34,1,"Atherinopsis californiensis","Fis-29687"
-118.5,34,1,"Atherinopsis californiensis","Fis-29687"
-118,34,1,"Atherinopsis californiensis","Fis-29687"
-120,33.5,1,"Atherinopsis californiensis","Fis-29687"
-119.5,33.5,1,"Atherinopsis californiensis","Fis-29687"
-118.5,33.5,1,"Atherinopsis californiensis","Fis-29687"
-118,33.5,1,"Atherinopsis californiensis","Fis-29687"
-117.5,33.5,1,"Atherinopsis californiensis","Fis-29687"
-119.5,33,1,"Atherinopsis californiensis","Fis-29687"
-119,33,1,"Atherinopsis californiensis","Fis-29687"
-118.5,33,1,"Atherinopsis californiensis","Fis-29687"
-118,33,1,"Atherinopsis californiensis","Fis-29687"
-117.5,33,1,"Atherinopsis californiensis","Fis-29687"
-117,33,1,"Atherinopsis californiensis","Fis-29687"
-118.5,32.5,1,"Atherinopsis californiensis","Fis-29687"
-118,32.5,1,"Atherinopsis californiensis","Fis-29687"
-117,32.5,1,"Atherinopsis californiensis","Fis-29687"
-117,32,1,"Atherinopsis californiensis","Fis-29687"
-116.5,32,1,"Atherinopsis californiensis","Fis-29687"
-116.5,31.5,1,"Atherinopsis californiensis","Fis-29687"
-114,31.5,0.19,"Atherinopsis californiensis","Fis-29687"
-113.5,31.5,0.17,"Atherinopsis californiensis","Fis-29687"
-116.5,31,1,"Atherinopsis californiensis","Fis-29687"
-116,31,1,"Atherinopsis californiensis","Fis-29687"
-114,31,0.01,"Atherinopsis californiensis","Fis-29687"
-116,30.5,1,"Atherinopsis californiensis","Fis-29687"
-115.5,30.5,1,"Atherinopsis californiensis","Fis-29687"
-112.5,30.5,0.02,"Atherinopsis californiensis","Fis-29687"
-116,30,1,"Atherinopsis californiensis","Fis-29687"
-115.5,30,1,"Atherinopsis californiensis","Fis-29687"
-114.5,30,0.31,"Atherinopsis californiensis","Fis-29687"
-112.5,30,0.04,"Atherinopsis californiensis","Fis-29687"
-115.5,29.5,1,"Atherinopsis californiensis","Fis-29687"
-115,29.5,1,"Atherinopsis californiensis","Fis-29687"
-113,29.5,0.02,"Atherinopsis californiensis","Fis-29687"
-112.5,29.5,0.04,"Atherinopsis californiensis","Fis-29687"
