"long_dd","lat_dd","poccur","species","aquamaps_id"
-148.5,60.5,0.17,"Crassadoma gigantea","W-Msc-240774"
-148,60.5,0.7,"Crassadoma gigantea","W-Msc-240774"
-147.5,60.5,0.72,"Crassadoma gigantea","W-Msc-240774"
-147,60.5,0.82,"Crassadoma gigantea","W-Msc-240774"
-146.5,60.5,0.91,"Crassadoma gigantea","W-Msc-240774"
-148.5,60,0.1,"Crassadoma gigantea","W-Msc-240774"
-148,60,0.84,"Crassadoma gigantea","W-Msc-240774"
-147.5,60,0.79,"Crassadoma gigantea","W-Msc-240774"
-147,60,0.89,"Crassadoma gigantea","W-Msc-240774"
-146.5,60,0.93,"Crassadoma gigantea","W-Msc-240774"
-146,60,0.93,"Crassadoma gigantea","W-Msc-240774"
-145.5,60,0.92,"Crassadoma gigantea","W-Msc-240774"
-145,60,0.91,"Crassadoma gigantea","W-Msc-240774"
-144.5,60,0.91,"Crassadoma gigantea","W-Msc-240774"
-149.5,59.5,0.84,"Crassadoma gigantea","W-Msc-240774"
-149,59.5,0.87,"Crassadoma gigantea","W-Msc-240774"
-148.5,59.5,0.88,"Crassadoma gigantea","W-Msc-240774"
-148,59.5,0.88,"Crassadoma gigantea","W-Msc-240774"
-147.5,59.5,0.9,"Crassadoma gigantea","W-Msc-240774"
-147,59.5,0.93,"Crassadoma gigantea","W-Msc-240774"
-146.5,59.5,0.88,"Crassadoma gigantea","W-Msc-240774"
-146,59.5,0.96,"Crassadoma gigantea","W-Msc-240774"
-145.5,59.5,0.24,"Crassadoma gigantea","W-Msc-240774"
-145,59.5,0.29,"Crassadoma gigantea","W-Msc-240774"
-144.5,59.5,0.96,"Crassadoma gigantea","W-Msc-240774"
-144,59.5,0.96,"Crassadoma gigantea","W-Msc-240774"
-143.5,59.5,0.99,"Crassadoma gigantea","W-Msc-240774"
-143,59.5,0.22,"Crassadoma gigantea","W-Msc-240774"
-142,59.5,0.99,"Crassadoma gigantea","W-Msc-240774"
-141.5,59.5,0.98,"Crassadoma gigantea","W-Msc-240774"
-141,59.5,0.98,"Crassadoma gigantea","W-Msc-240774"
-140,59.5,0.94,"Crassadoma gigantea","W-Msc-240774"
-139.5,59.5,0.92,"Crassadoma gigantea","W-Msc-240774"
-151,59,0.78,"Crassadoma gigantea","W-Msc-240774"
-150.5,59,0.83,"Crassadoma gigantea","W-Msc-240774"
-150,59,0.85,"Crassadoma gigantea","W-Msc-240774"
-146.5,59,0.31,"Crassadoma gigantea","W-Msc-240774"
-146,59,0.96,"Crassadoma gigantea","W-Msc-240774"
-139.5,59,1,"Crassadoma gigantea","W-Msc-240774"
-139,59,1,"Crassadoma gigantea","W-Msc-240774"
-150,58.5,0.36,"Crassadoma gigantea","W-Msc-240774"
-138.5,58.5,0.45,"Crassadoma gigantea","W-Msc-240774"
-138,58.5,1,"Crassadoma gigantea","W-Msc-240774"
-137.5,58.5,0.96,"Crassadoma gigantea","W-Msc-240774"
-137,58.5,0.91,"Crassadoma gigantea","W-Msc-240774"
-136,58.5,0.81,"Crassadoma gigantea","W-Msc-240774"
-135,58.5,0.82,"Crassadoma gigantea","W-Msc-240774"
-150,58,0.74,"Crassadoma gigantea","W-Msc-240774"
-149.5,58,0.58,"Crassadoma gigantea","W-Msc-240774"
-139,58,1,"Crassadoma gigantea","W-Msc-240774"
-138.5,58,1,"Crassadoma gigantea","W-Msc-240774"
-138,58,0.48,"Crassadoma gigantea","W-Msc-240774"
-137,58,1,"Crassadoma gigantea","W-Msc-240774"
-136.5,58,0.94,"Crassadoma gigantea","W-Msc-240774"
-136,58,0.86,"Crassadoma gigantea","W-Msc-240774"
-135.5,58,0.81,"Crassadoma gigantea","W-Msc-240774"
-135,58,0.83,"Crassadoma gigantea","W-Msc-240774"
-134.5,58,0.81,"Crassadoma gigantea","W-Msc-240774"
-134,58,0.8,"Crassadoma gigantea","W-Msc-240774"
-150.5,57.5,0.54,"Crassadoma gigantea","W-Msc-240774"
-150,57.5,0.25,"Crassadoma gigantea","W-Msc-240774"
