"long_dd","lat_dd","poccur","species","aquamaps_id"
-135.5,56.5,0.89,"Cymatogaster aggregata","Fis-29881"
-135,56.5,0.8,"Cymatogaster aggregata","Fis-29881"
-134.5,56.5,0.57,"Cymatogaster aggregata","Fis-29881"
-134,56.5,0.54,"Cymatogaster aggregata","Fis-29881"
-133.5,56.5,0.5,"Cymatogaster aggregata","Fis-29881"
-133,56.5,0.54,"Cymatogaster aggregata","Fis-29881"
-132.5,56.5,0.59,"Cymatogaster aggregata","Fis-29881"
-135,56,0.8,"Cymatogaster aggregata","Fis-29881"
-134.5,56,0.74,"Cymatogaster aggregata","Fis-29881"
-134,56,0.62,"Cymatogaster aggregata","Fis-29881"
-133.5,56,0.58,"Cymatogaster aggregata","Fis-29881"
-133,56,0.62,"Cymatogaster aggregata","Fis-29881"
-132.5,56,0.71,"Cymatogaster aggregata","Fis-29881"
-132,56,0.76,"Cymatogaster aggregata","Fis-29881"
-134.5,55.5,0.91,"Cymatogaster aggregata","Fis-29881"
-134,55.5,0.83,"Cymatogaster aggregata","Fis-29881"
-133.5,55.5,0.82,"Cymatogaster aggregata","Fis-29881"
-133,55.5,0.82,"Cymatogaster aggregata","Fis-29881"
-132.5,55.5,0.85,"Cymatogaster aggregata","Fis-29881"
-132,55.5,0.93,"Cymatogaster aggregata","Fis-29881"
-131.5,55.5,0.96,"Cymatogaster aggregata","Fis-29881"
-134,55,1,"Cymatogaster aggregata","Fis-29881"
-133.5,55,0.93,"Cymatogaster aggregata","Fis-29881"
-133,55,0.9,"Cymatogaster aggregata","Fis-29881"
-132.5,55,0.91,"Cymatogaster aggregata","Fis-29881"
-132,55,0.96,"Cymatogaster aggregata","Fis-29881"
-131.5,55,0.98,"Cymatogaster aggregata","Fis-29881"
-131,55,1,"Cymatogaster aggregata","Fis-29881"
-130.5,55,0.97,"Cymatogaster aggregata","Fis-29881"
-130,55,0.89,"Cymatogaster aggregata","Fis-29881"
-129.5,55,0.85,"Cymatogaster aggregata","Fis-29881"
-133.5,54.5,0.99,"Cymatogaster aggregata","Fis-29881"
-133,54.5,0.92,"Cymatogaster aggregata","Fis-29881"
