"long_dd","lat_dd","poccur","species","aquamaps_id"
-129.5,50.5,0.94,"Engraulis mordax","Fis-29948"
-129,50.5,0.93,"Engraulis mordax","Fis-29948"
-128.5,50.5,0.91,"Engraulis mordax","Fis-29948"
-128,50.5,0.89,"Engraulis mordax","Fis-29948"
-127.5,50.5,0.84,"Engraulis mordax","Fis-29948"
-127,50.5,0.69,"Engraulis mordax","Fis-29948"
-126.5,50.5,0.66,"Engraulis mordax","Fis-29948"
-126,50.5,0.64,"Engraulis mordax","Fis-29948"
-125.5,50.5,0.01,"Engraulis mordax","Fis-29948"
-125,50.5,0.01,"Engraulis mordax","Fis-29948"
-124.5,50.5,0.01,"Engraulis mordax","Fis-29948"
-128,50,0.93,"Engraulis mordax","Fis-29948"
-127.5,50,0.9,"Engraulis mordax","Fis-29948"
-127,50,0.87,"Engraulis mordax","Fis-29948"
-126,50,0.72,"Engraulis mordax","Fis-29948"
-125.5,50,0.53,"Engraulis mordax","Fis-29948"
-125,50,0.24,"Engraulis mordax","Fis-29948"
-124.5,50,0.26,"Engraulis mordax","Fis-29948"
-124,50,0.01,"Engraulis mordax","Fis-29948"
-123.5,50,0.01,"Engraulis mordax","Fis-29948"
-127.5,49.5,0.95,"Engraulis mordax","Fis-29948"
-127,49.5,0.94,"Engraulis mordax","Fis-29948"
-126.5,49.5,0.91,"Engraulis mordax","Fis-29948"
-126,49.5,0.02,"Engraulis mordax","Fis-29948"
-125,49.5,0.46,"Engraulis mordax","Fis-29948"
-124.5,49.5,0.27,"Engraulis mordax","Fis-29948"
-124,49.5,0.3,"Engraulis mordax","Fis-29948"
-123.5,49.5,0.31,"Engraulis mordax","Fis-29948"
-123,49.5,0.01,"Engraulis mordax","Fis-29948"
-127,49,0.97,"Engraulis mordax","Fis-29948"
-126.5,49,0.96,"Engraulis mordax","Fis-29948"
-126,49,0.94,"Engraulis mordax","Fis-29948"
-125.5,49,0.85,"Engraulis mordax","Fis-29948"
-125,49,0.04,"Engraulis mordax","Fis-29948"
-124.5,49,0.48,"Engraulis mordax","Fis-29948"
-124,49,0.27,"Engraulis mordax","Fis-29948"
-123.5,49,0.3,"Engraulis mordax","Fis-29948"
-123,49,0.34,"Engraulis mordax","Fis-29948"
-122.5,49,0.17,"Engraulis mordax","Fis-29948"
-126,48.5,0.98,"Engraulis mordax","Fis-29948"
-125.5,48.5,0.96,"Engraulis mordax","Fis-29948"
-125,48.5,0.87,"Engraulis mordax","Fis-29948"
-124.5,48.5,0.58,"Engraulis mordax","Fis-29948"
-124,48.5,0.34,"Engraulis mordax","Fis-29948"
-123.5,48.5,0.25,"Engraulis mordax","Fis-29948"
-123,48.5,0.25,"Engraulis mordax","Fis-29948"
-122.5,48.5,0.25,"Engraulis mordax","Fis-29948"
-122,48.5,0.18,"Engraulis mordax","Fis-29948"
-126,48,1,"Engraulis mordax","Fis-29948"
-125.5,48,1,"Engraulis mordax","Fis-29948"
-125,48,0.94,"Engraulis mordax","Fis-29948"
-124.5,48,0.57,"Engraulis mordax","Fis-29948"
-124,48,0.31,"Engraulis mordax","Fis-29948"
-123.5,48,0.17,"Engraulis mordax","Fis-29948"
-123,48,0.15,"Engraulis mordax","Fis-29948"
-122.5,48,0.1,"Engraulis mordax","Fis-29948"
-122,48,0.17,"Engraulis mordax","Fis-29948"
-125.5,47.5,0.54,"Engraulis mordax","Fis-29948"
-125,47.5,1,"Engraulis mordax","Fis-29948"
-124.5,47.5,1,"Engraulis mordax","Fis-29948"
-124,47.5,0.68,"Engraulis mordax","Fis-29948"
-123,47.5,0.01,"Engraulis mordax","Fis-29948"
-122,47.5,0.19,"Engraulis mordax","Fis-29948"
-124.5,47,1,"Engraulis mordax","Fis-29948"
-124,47,1,"Engraulis mordax","Fis-29948"
-122,47,0.23,"Engraulis mordax","Fis-29948"
-130.5,46.5,1,"Engraulis mordax","Fis-29948"
-124.5,46.5,1,"Engraulis mordax","Fis-29948"
-124,46.5,0.46,"Engraulis mordax","Fis-29948"
-123.5,46.5,0.23,"Engraulis mordax","Fis-29948"
-124.5,46,0.92,"Engraulis mordax","Fis-29948"
-124,46,0.14,"Engraulis mordax","Fis-29948"
-123.5,46,0.08,"Engraulis mordax","Fis-29948"
-123,46,0.01,"Engraulis mordax","Fis-29948"
-124.5,45.5,1,"Engraulis mordax","Fis-29948"
-124,45.5,0.45,"Engraulis mordax","Fis-29948"
-123.5,45.5,0.42,"Engraulis mordax","Fis-29948"
-124,45,0.92,"Engraulis mordax","Fis-29948"
-123.5,45,0.63,"Engraulis mordax","Fis-29948"
-124.5,44.5,1,"Engraulis mordax","Fis-29948"
-124,44.5,1,"Engraulis mordax","Fis-29948"
-124.5,44,1,"Engraulis mordax","Fis-29948"
-124,44,1,"Engraulis mordax","Fis-29948"
-124.5,43.5,1,"Engraulis mordax","Fis-29948"
-124,43.5,1,"Engraulis mordax","Fis-29948"
-124.5,43,1,"Engraulis mordax","Fis-29948"
-124,43,0.98,"Engraulis mordax","Fis-29948"
-124.5,42.5,1,"Engraulis mordax","Fis-29948"
-124,42.5,0.9,"Engraulis mordax","Fis-29948"
-124.5,42,1,"Engraulis mordax","Fis-29948"
-124,42,0.81,"Engraulis mordax","Fis-29948"
-124.5,41.5,0.2,"Engraulis mordax","Fis-29948"
-124,41.5,0.7,"Engraulis mordax","Fis-29948"
-124.5,41,1,"Engraulis mordax","Fis-29948"
-124,41,0.72,"Engraulis mordax","Fis-29948"
-124.5,40.5,1,"Engraulis mordax","Fis-29948"
-124,40.5,0.92,"Engraulis mordax","Fis-29948"
-124.5,40,1,"Engraulis mordax","Fis-29948"
-124,40,1,"Engraulis mordax","Fis-29948"
-124,39.5,1,"Engraulis mordax","Fis-29948"
-123.5,39.5,0.78,"Engraulis mordax","Fis-29948"
-123.5,39,0.94,"Engraulis mordax","Fis-29948"
-123.5,38.5,1,"Engraulis mordax","Fis-29948"
-123,38.5,0.65,"Engraulis mordax","Fis-29948"
-123.5,38,1,"Engraulis mordax","Fis-29948"
-123,38,0.98,"Engraulis mordax","Fis-29948"
-122.5,38,0.34,"Engraulis mordax","Fis-29948"
-122,38,0.18,"Engraulis mordax","Fis-29948"
-123,37.5,1,"Engraulis mordax","Fis-29948"
-122.5,37.5,0.09,"Engraulis mordax","Fis-29948"
-122.5,37,0.3,"Engraulis mordax","Fis-29948"
-122,37,0.29,"Engraulis mordax","Fis-29948"
-122,36.5,0.59,"Engraulis mordax","Fis-29948"
-121.5,36.5,0.44,"Engraulis mordax","Fis-29948"
-122,36,1,"Engraulis mordax","Fis-29948"
-121.5,36,0.78,"Engraulis mordax","Fis-29948"
-121,36,0.56,"Engraulis mordax","Fis-29948"
-121,35.5,0.86,"Engraulis mordax","Fis-29948"
-121.5,35,0.16,"Engraulis mordax","Fis-29948"
-121,35,1,"Engraulis mordax","Fis-29948"
-120.5,35,0.94,"Engraulis mordax","Fis-29948"
-121.5,34.5,0.52,"Engraulis mordax","Fis-29948"
-121,34.5,0.66,"Engraulis mordax","Fis-29948"
-120.5,34.5,1,"Engraulis mordax","Fis-29948"
-120,34.5,0.6,"Engraulis mordax","Fis-29948"
-120.5,34,1,"Engraulis mordax","Fis-29948"
-120,34,1,"Engraulis mordax","Fis-29948"
-119.5,34,1,"Engraulis mordax","Fis-29948"
-119,34,1,"Engraulis mordax","Fis-29948"
-118.5,34,1,"Engraulis mordax","Fis-29948"
-118,34,0.46,"Engraulis mordax","Fis-29948"
-120,33.5,1,"Engraulis mordax","Fis-29948"
-119.5,33.5,1,"Engraulis mordax","Fis-29948"
-119,33.5,1,"Engraulis mordax","Fis-29948"
-118.5,33.5,1,"Engraulis mordax","Fis-29948"
-118,33.5,1,"Engraulis mordax","Fis-29948"
-117.5,33.5,1,"Engraulis mordax","Fis-29948"
-119.5,33,1,"Engraulis mordax","Fis-29948"
-119,33,1,"Engraulis mordax","Fis-29948"
-118.5,33,1,"Engraulis mordax","Fis-29948"
-118,33,1,"Engraulis mordax","Fis-29948"
-117.5,33,1,"Engraulis mordax","Fis-29948"
-117,33,1,"Engraulis mordax","Fis-29948"
-119.5,32.5,0.66,"Engraulis mordax","Fis-29948"
-119,32.5,1,"Engraulis mordax","Fis-29948"
-118.5,32.5,1,"Engraulis mordax","Fis-29948"
-118,32.5,1,"Engraulis mordax","Fis-29948"
-117.5,32.5,0.45,"Engraulis mordax","Fis-29948"
-117,32.5,1,"Engraulis mordax","Fis-29948"
-119,32,1,"Engraulis mordax","Fis-29948"
-118.5,32,1,"Engraulis mordax","Fis-29948"
-118,32,0.02,"Engraulis mordax","Fis-29948"
-117,32,1,"Engraulis mordax","Fis-29948"
-116.5,32,1,"Engraulis mordax","Fis-29948"
-116.5,31.5,1,"Engraulis mordax","Fis-29948"
-114.5,31.5,0.28,"Engraulis mordax","Fis-29948"
-114,31.5,0.47,"Engraulis mordax","Fis-29948"
-113.5,31.5,0.68,"Engraulis mordax","Fis-29948"
-116.5,31,1,"Engraulis mordax","Fis-29948"
-116,31,1,"Engraulis mordax","Fis-29948"
-114.5,31,0.3,"Engraulis mordax","Fis-29948"
-114,31,0.34,"Engraulis mordax","Fis-29948"
-113.5,31,0.28,"Engraulis mordax","Fis-29948"
-113,31,0.35,"Engraulis mordax","Fis-29948"
-116,30.5,1,"Engraulis mordax","Fis-29948"
-115.5,30.5,0.51,"Engraulis mordax","Fis-29948"
-114.5,30.5,0.4,"Engraulis mordax","Fis-29948"
-114,30.5,0.49,"Engraulis mordax","Fis-29948"
-113.5,30.5,0.45,"Engraulis mordax","Fis-29948"
-113,30.5,0.35,"Engraulis mordax","Fis-29948"
