"long_dd","lat_dd","poccur","species","aquamaps_id"
-122,36.5,0.1,"Leuresthes tenuis","Fis-24738"
-121.5,36,0.21,"Leuresthes tenuis","Fis-24738"
-121,36,0.1,"Leuresthes tenuis","Fis-24738"
-121,35.5,0.46,"Leuresthes tenuis","Fis-24738"
-120.5,35,0.79,"Leuresthes tenuis","Fis-24738"
-120.5,34.5,0.79,"Leuresthes tenuis","Fis-24738"
-120,34.5,1,"Leuresthes tenuis","Fis-24738"
-120,34,1,"Leuresthes tenuis","Fis-24738"
-119.5,34,1,"Leuresthes tenuis","Fis-24738"
-119,34,1,"Leuresthes tenuis","Fis-24738"
-118.5,34,1,"Leuresthes tenuis","Fis-24738"
-118,34,1,"Leuresthes tenuis","Fis-24738"
-120,33.5,1,"Leuresthes tenuis","Fis-24738"
-119.5,33.5,1,"Leuresthes tenuis","Fis-24738"
-118.5,33.5,1,"Leuresthes tenuis","Fis-24738"
-118,33.5,1,"Leuresthes tenuis","Fis-24738"
-117.5,33.5,1,"Leuresthes tenuis","Fis-24738"
-119.5,33,1,"Leuresthes tenuis","Fis-24738"
-119,33,1,"Leuresthes tenuis","Fis-24738"
-118.5,33,1,"Leuresthes tenuis","Fis-24738"
-118,33,1,"Leuresthes tenuis","Fis-24738"
-117.5,33,1,"Leuresthes tenuis","Fis-24738"
-117,33,1,"Leuresthes tenuis","Fis-24738"
-118.5,32.5,1,"Leuresthes tenuis","Fis-24738"
-118,32.5,1,"Leuresthes tenuis","Fis-24738"
-117,32.5,0.99,"Leuresthes tenuis","Fis-24738"
-117,32,1,"Leuresthes tenuis","Fis-24738"
-116.5,32,1,"Leuresthes tenuis","Fis-24738"
-116.5,31.5,1,"Leuresthes tenuis","Fis-24738"
-114,31.5,0.17,"Leuresthes tenuis","Fis-24738"
-113.5,31.5,0.13,"Leuresthes tenuis","Fis-24738"
-116.5,31,1,"Leuresthes tenuis","Fis-24738"
-116,31,1,"Leuresthes tenuis","Fis-24738"
-116,30.5,1,"Leuresthes tenuis","Fis-24738"
-115.5,30.5,1,"Leuresthes tenuis","Fis-24738"
-116,30,1,"Leuresthes tenuis","Fis-24738"
-115.5,30,1,"Leuresthes tenuis","Fis-24738"
-114.5,30,0.48,"Leuresthes tenuis","Fis-24738"
-115.5,29.5,1,"Leuresthes tenuis","Fis-24738"
-115,29.5,1,"Leuresthes tenuis","Fis-24738"
-112.5,29.5,0.01,"Leuresthes tenuis","Fis-24738"
-112,29.5,0.02,"Leuresthes tenuis","Fis-24738"
-118,29,1,"Leuresthes tenuis","Fis-24738"
-115,29,1,"Leuresthes tenuis","Fis-24738"
-114.5,29,1,"Leuresthes tenuis","Fis-24738"
-113.5,29,0.77,"Leuresthes tenuis","Fis-24738"
-113,29,0.39,"Leuresthes tenuis","Fis-24738"
-112,29,0.14,"Leuresthes tenuis","Fis-24738"
-118,28.5,1,"Leuresthes tenuis","Fis-24738"
-114.5,28.5,0.25,"Leuresthes tenuis","Fis-24738"
-114,28.5,1,"Leuresthes tenuis","Fis-24738"
-113.5,28.5,1,"Leuresthes tenuis","Fis-24738"
-113,28.5,1,"Leuresthes tenuis","Fis-24738"
-112.5,28.5,0.57,"Leuresthes tenuis","Fis-24738"
-112,28.5,0.33,"Leuresthes tenuis","Fis-24738"
-111.5,28.5,0.05,"Leuresthes tenuis","Fis-24738"
-115.5,28,1,"Leuresthes tenuis","Fis-24738"
-115,28,1,"Leuresthes tenuis","Fis-24738"
-114.5,28,1,"Leuresthes tenuis","Fis-24738"
-114,28,1,"Leuresthes tenuis","Fis-24738"
-112.5,28,0.88,"Leuresthes tenuis","Fis-24738"
-115,27.5,1,"Leuresthes tenuis","Fis-24738"
-114.5,27.5,1,"Leuresthes tenuis","Fis-24738"
-114,27.5,1,"Leuresthes tenuis","Fis-24738"
-113.5,27.5,1,"Leuresthes tenuis","Fis-24738"
-112.5,27.5,1,"Leuresthes tenuis","Fis-24738"
-112,27.5,0.04,"Leuresthes tenuis","Fis-24738"
-114.5,27,1,"Leuresthes tenuis","Fis-24738"
-114,27,1,"Leuresthes tenuis","Fis-24738"
-113.5,27,1,"Leuresthes tenuis","Fis-24738"
-113.5,26.5,1,"Leuresthes tenuis","Fis-24738"
-113,26.5,1,"Leuresthes tenuis","Fis-24738"
-112.5,26.5,1,"Leuresthes tenuis","Fis-24738"
-111.5,26.5,0.04,"Leuresthes tenuis","Fis-24738"
-112.5,26,1,"Leuresthes tenuis","Fis-24738"
-112,26,1,"Leuresthes tenuis","Fis-24738"
-112.5,25.5,1,"Leuresthes tenuis","Fis-24738"
-112,25.5,1,"Leuresthes tenuis","Fis-24738"
-112,25,1,"Leuresthes tenuis","Fis-24738"
-112,24.5,1,"Leuresthes tenuis","Fis-24738"
-111.5,24.5,0.02,"Leuresthes tenuis","Fis-24738"
