"long_dd","lat_dd","poccur","species","aquamaps_id"
-167.5,65,0.01,"Macoma nasuta","W-Msc-582761"
-167,65,0.02,"Macoma nasuta","W-Msc-582761"
-166.5,65,0.02,"Macoma nasuta","W-Msc-582761"
-166,65,0.01,"Macoma nasuta","W-Msc-582761"
-174.5,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-167,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-166.5,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-166,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-165.5,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-165,64.5,0.01,"Macoma nasuta","W-Msc-582761"
-174,64,0.03,"Macoma nasuta","W-Msc-582761"
-173.5,64,0.02,"Macoma nasuta","W-Msc-582761"
-165.5,64,0.01,"Macoma nasuta","W-Msc-582761"
-165,64,0.01,"Macoma nasuta","W-Msc-582761"
-173,63.5,0.01,"Macoma nasuta","W-Msc-582761"
-172.5,63.5,0.01,"Macoma nasuta","W-Msc-582761"
-172,63.5,0.01,"Macoma nasuta","W-Msc-582761"
-165,63,0.01,"Macoma nasuta","W-Msc-582761"
-164.5,63,0.01,"Macoma nasuta","W-Msc-582761"
-164,63,0.01,"Macoma nasuta","W-Msc-582761"
-163.5,63,0.01,"Macoma nasuta","W-Msc-582761"
-163,63,0.01,"Macoma nasuta","W-Msc-582761"
-162.5,63,0.01,"Macoma nasuta","W-Msc-582761"
-162,63,0.01,"Macoma nasuta","W-Msc-582761"
-161.5,63,0.01,"Macoma nasuta","W-Msc-582761"
-165.5,62.5,0.01,"Macoma nasuta","W-Msc-582761"
-165,62.5,0.03,"Macoma nasuta","W-Msc-582761"
-164.5,62.5,0.04,"Macoma nasuta","W-Msc-582761"
-165.5,62,0.02,"Macoma nasuta","W-Msc-582761"
-165,62,0.03,"Macoma nasuta","W-Msc-582761"
-165.5,61.5,0.01,"Macoma nasuta","W-Msc-582761"
-149.5,61.5,0.09,"Macoma nasuta","W-Msc-582761"
-149,61.5,0.18,"Macoma nasuta","W-Msc-582761"
-165,61,0.02,"Macoma nasuta","W-Msc-582761"
-164.5,61,0.03,"Macoma nasuta","W-Msc-582761"
-151.5,61,0.05,"Macoma nasuta","W-Msc-582761"
