"long_dd","lat_dd","poccur","species","aquamaps_id"
-149.5,60.5,0.07,"Metacarcinus magister","W-Bch-440388"
-149,60.5,0.77,"Metacarcinus magister","W-Bch-440388"
-148.5,60.5,0.05,"Metacarcinus magister","W-Bch-440388"
-148,60.5,0.95,"Metacarcinus magister","W-Bch-440388"
-147.5,60.5,0.94,"Metacarcinus magister","W-Bch-440388"
-147,60.5,1,"Metacarcinus magister","W-Bch-440388"
-146.5,60.5,1,"Metacarcinus magister","W-Bch-440388"
-146,60.5,0.9,"Metacarcinus magister","W-Bch-440388"
-145.5,60.5,0.81,"Metacarcinus magister","W-Bch-440388"
-152.5,60,0.32,"Metacarcinus magister","W-Bch-440388"
-152,60,0.27,"Metacarcinus magister","W-Bch-440388"
-151.5,60,0.01,"Metacarcinus magister","W-Bch-440388"
-149,60,0.93,"Metacarcinus magister","W-Bch-440388"
-148.5,60,0.02,"Metacarcinus magister","W-Bch-440388"
-148,60,1,"Metacarcinus magister","W-Bch-440388"
-147.5,60,1,"Metacarcinus magister","W-Bch-440388"
-147,60,1,"Metacarcinus magister","W-Bch-440388"
-146.5,60,1,"Metacarcinus magister","W-Bch-440388"
-146,60,1,"Metacarcinus magister","W-Bch-440388"
-145.5,60,1,"Metacarcinus magister","W-Bch-440388"
-145,60,1,"Metacarcinus magister","W-Bch-440388"
-144.5,60,1,"Metacarcinus magister","W-Bch-440388"
-144,60,0.91,"Metacarcinus magister","W-Bch-440388"
-143.5,60,0.84,"Metacarcinus magister","W-Bch-440388"
-143,60,0.79,"Metacarcinus magister","W-Bch-440388"
-142.5,60,0.75,"Metacarcinus magister","W-Bch-440388"
-142,60,0.72,"Metacarcinus magister","W-Bch-440388"
-141.5,60,0.7,"Metacarcinus magister","W-Bch-440388"
-141,60,0.68,"Metacarcinus magister","W-Bch-440388"
-139.5,60,0.65,"Metacarcinus magister","W-Bch-440388"
-139,60,0.6,"Metacarcinus magister","W-Bch-440388"
-153.5,59.5,0.72,"Metacarcinus magister","W-Bch-440388"
-153,59.5,0.91,"Metacarcinus magister","W-Bch-440388"
-152.5,59.5,0.87,"Metacarcinus magister","W-Bch-440388"
-152,59.5,0.88,"Metacarcinus magister","W-Bch-440388"
-151.5,59.5,0.86,"Metacarcinus magister","W-Bch-440388"
-151,59.5,0.88,"Metacarcinus magister","W-Bch-440388"
-150.5,59.5,0.86,"Metacarcinus magister","W-Bch-440388"
-150,59.5,0.9,"Metacarcinus magister","W-Bch-440388"
-149.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-149,59.5,1,"Metacarcinus magister","W-Bch-440388"
-148.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-148,59.5,1,"Metacarcinus magister","W-Bch-440388"
-147.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-147,59.5,1,"Metacarcinus magister","W-Bch-440388"
-146.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-146,59.5,1,"Metacarcinus magister","W-Bch-440388"
-145.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-145,59.5,1,"Metacarcinus magister","W-Bch-440388"
-144.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-144,59.5,1,"Metacarcinus magister","W-Bch-440388"
-143.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-143,59.5,1,"Metacarcinus magister","W-Bch-440388"
-142.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-142,59.5,1,"Metacarcinus magister","W-Bch-440388"
-141.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-141,59.5,1,"Metacarcinus magister","W-Bch-440388"
-140.5,59.5,0.99,"Metacarcinus magister","W-Bch-440388"
-140,59.5,1,"Metacarcinus magister","W-Bch-440388"
-139.5,59.5,1,"Metacarcinus magister","W-Bch-440388"
-139,59.5,0.68,"Metacarcinus magister","W-Bch-440388"
-138.5,59.5,0.02,"Metacarcinus magister","W-Bch-440388"
-174.5,59,0.11,"Metacarcinus magister","W-Bch-440388"
-174,59,0.07,"Metacarcinus magister","W-Bch-440388"
-173.5,59,0.03,"Metacarcinus magister","W-Bch-440388"
-162,59,0.01,"Metacarcinus magister","W-Bch-440388"
-161.5,59,0.03,"Metacarcinus magister","W-Bch-440388"
-160.5,59,0.04,"Metacarcinus magister","W-Bch-440388"
-160,59,0.03,"Metacarcinus magister","W-Bch-440388"
-156.5,59,0.01,"Metacarcinus magister","W-Bch-440388"
-154,59,0.9,"Metacarcinus magister","W-Bch-440388"
-153.5,59,0.82,"Metacarcinus magister","W-Bch-440388"
-153,59,1,"Metacarcinus magister","W-Bch-440388"
-152.5,59,1,"Metacarcinus magister","W-Bch-440388"
-152,59,1,"Metacarcinus magister","W-Bch-440388"
-151.5,59,0.99,"Metacarcinus magister","W-Bch-440388"
-151,59,1,"Metacarcinus magister","W-Bch-440388"
-150.5,59,1,"Metacarcinus magister","W-Bch-440388"
-150,59,1,"Metacarcinus magister","W-Bch-440388"
-149.5,59,1,"Metacarcinus magister","W-Bch-440388"
-149,59,1,"Metacarcinus magister","W-Bch-440388"
-148.5,59,1,"Metacarcinus magister","W-Bch-440388"
-148,59,1,"Metacarcinus magister","W-Bch-440388"
-147.5,59,1,"Metacarcinus magister","W-Bch-440388"
-147,59,1,"Metacarcinus magister","W-Bch-440388"
-146.5,59,1,"Metacarcinus magister","W-Bch-440388"
-146,59,1,"Metacarcinus magister","W-Bch-440388"
-145.5,59,1,"Metacarcinus magister","W-Bch-440388"
-145,59,0.56,"Metacarcinus magister","W-Bch-440388"
-142,59,0.9,"Metacarcinus magister","W-Bch-440388"
-141.5,59,0.95,"Metacarcinus magister","W-Bch-440388"
-141,59,0.99,"Metacarcinus magister","W-Bch-440388"
-140.5,59,1,"Metacarcinus magister","W-Bch-440388"
-140,59,1,"Metacarcinus magister","W-Bch-440388"
-139.5,59,1,"Metacarcinus magister","W-Bch-440388"
-139,59,1,"Metacarcinus magister","W-Bch-440388"
-138.5,59,0.99,"Metacarcinus magister","W-Bch-440388"
-138,59,0.94,"Metacarcinus magister","W-Bch-440388"
-137,59,0.02,"Metacarcinus magister","W-Bch-440388"
-136.5,59,0.04,"Metacarcinus magister","W-Bch-440388"
-136,59,0.04,"Metacarcinus magister","W-Bch-440388"
-135.5,59,0.02,"Metacarcinus magister","W-Bch-440388"
-135,59,0.71,"Metacarcinus magister","W-Bch-440388"
-174.5,58.5,0.17,"Metacarcinus magister","W-Bch-440388"
-174,58.5,0.17,"Metacarcinus magister","W-Bch-440388"
-173.5,58.5,0.15,"Metacarcinus magister","W-Bch-440388"
-173,58.5,0.14,"Metacarcinus magister","W-Bch-440388"
-172.5,58.5,0.13,"Metacarcinus magister","W-Bch-440388"
-172,58.5,0.1,"Metacarcinus magister","W-Bch-440388"
-171.5,58.5,0.07,"Metacarcinus magister","W-Bch-440388"
-171,58.5,0.04,"Metacarcinus magister","W-Bch-440388"
-170.5,58.5,0.02,"Metacarcinus magister","W-Bch-440388"
-170,58.5,0.01,"Metacarcinus magister","W-Bch-440388"
