"long_dd","lat_dd","poccur","species","aquamaps_id"
-10.5,60.5,0.13,"Mytilus galloprovincialis","W-Msc-140481"
-10,60.5,0.13,"Mytilus galloprovincialis","W-Msc-140481"
-9.5,60.5,0.06,"Mytilus galloprovincialis","W-Msc-140481"
-9,60.5,0.06,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,60.5,0.05,"Mytilus galloprovincialis","W-Msc-140481"
-8,60.5,0.07,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,60.5,0.01,"Mytilus galloprovincialis","W-Msc-140481"
-2.5,60.5,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-2,60.5,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-1.5,60.5,0.2,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,60.5,0.15,"Mytilus galloprovincialis","W-Msc-140481"
0,60.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
0.5,60.5,0.21,"Mytilus galloprovincialis","W-Msc-140481"
1,60.5,0.21,"Mytilus galloprovincialis","W-Msc-140481"
1.5,60.5,0.2,"Mytilus galloprovincialis","W-Msc-140481"
2,60.5,0.19,"Mytilus galloprovincialis","W-Msc-140481"
2.5,60.5,0.17,"Mytilus galloprovincialis","W-Msc-140481"
3,60.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
3.5,60.5,0.09,"Mytilus galloprovincialis","W-Msc-140481"
4.5,60.5,0.03,"Mytilus galloprovincialis","W-Msc-140481"
-4.5,60,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-4,60,0.28,"Mytilus galloprovincialis","W-Msc-140481"
-3.5,60,0.29,"Mytilus galloprovincialis","W-Msc-140481"
-3,60,0.28,"Mytilus galloprovincialis","W-Msc-140481"
-2.5,60,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-2,60,0.16,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,60,0.09,"Mytilus galloprovincialis","W-Msc-140481"
0,60,0.16,"Mytilus galloprovincialis","W-Msc-140481"
0.5,60,0.18,"Mytilus galloprovincialis","W-Msc-140481"
1,60,0.18,"Mytilus galloprovincialis","W-Msc-140481"
1.5,60,0.16,"Mytilus galloprovincialis","W-Msc-140481"
2,60,0.15,"Mytilus galloprovincialis","W-Msc-140481"
3.5,60,0.15,"Mytilus galloprovincialis","W-Msc-140481"
5,60,0.07,"Mytilus galloprovincialis","W-Msc-140481"
-6,59.5,0.37,"Mytilus galloprovincialis","W-Msc-140481"
-5.5,59.5,0.36,"Mytilus galloprovincialis","W-Msc-140481"
-5,59.5,0.36,"Mytilus galloprovincialis","W-Msc-140481"
-4.5,59.5,0.35,"Mytilus galloprovincialis","W-Msc-140481"
-4,59.5,0.32,"Mytilus galloprovincialis","W-Msc-140481"
-3.5,59.5,0.27,"Mytilus galloprovincialis","W-Msc-140481"
-3,59.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
-1,59.5,0.03,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,59.5,0.13,"Mytilus galloprovincialis","W-Msc-140481"
0,59.5,0.15,"Mytilus galloprovincialis","W-Msc-140481"
0.5,59.5,0.14,"Mytilus galloprovincialis","W-Msc-140481"
1,59.5,0.14,"Mytilus galloprovincialis","W-Msc-140481"
1.5,59.5,0.06,"Mytilus galloprovincialis","W-Msc-140481"
2,59.5,0.02,"Mytilus galloprovincialis","W-Msc-140481"
3.5,59.5,0.2,"Mytilus galloprovincialis","W-Msc-140481"
5,59.5,0.12,"Mytilus galloprovincialis","W-Msc-140481"
6,59.5,0.01,"Mytilus galloprovincialis","W-Msc-140481"
-7,59,0.46,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,59,0.46,"Mytilus galloprovincialis","W-Msc-140481"
-6,59,0.41,"Mytilus galloprovincialis","W-Msc-140481"
-5.5,59,0.37,"Mytilus galloprovincialis","W-Msc-140481"
-5,59,0.34,"Mytilus galloprovincialis","W-Msc-140481"
-4.5,59,0.31,"Mytilus galloprovincialis","W-Msc-140481"
-4,59,0.27,"Mytilus galloprovincialis","W-Msc-140481"
-3.5,59,0.23,"Mytilus galloprovincialis","W-Msc-140481"
-1,59,0.03,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,59,0.14,"Mytilus galloprovincialis","W-Msc-140481"
0,59,0.15,"Mytilus galloprovincialis","W-Msc-140481"
0.5,59,0.14,"Mytilus galloprovincialis","W-Msc-140481"
1,59,0.14,"Mytilus galloprovincialis","W-Msc-140481"
1.5,59,0.13,"Mytilus galloprovincialis","W-Msc-140481"
2.5,59,0.1,"Mytilus galloprovincialis","W-Msc-140481"
3,59,0.21,"Mytilus galloprovincialis","W-Msc-140481"
3.5,59,0.21,"Mytilus galloprovincialis","W-Msc-140481"
4,59,0.05,"Mytilus galloprovincialis","W-Msc-140481"
5,59,0.13,"Mytilus galloprovincialis","W-Msc-140481"
5.5,59,0.07,"Mytilus galloprovincialis","W-Msc-140481"
6,59,0.03,"Mytilus galloprovincialis","W-Msc-140481"
-8,58.5,0.51,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,58.5,0.5,"Mytilus galloprovincialis","W-Msc-140481"
-7,58.5,0.47,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,58.5,0.43,"Mytilus galloprovincialis","W-Msc-140481"
-6,58.5,0.37,"Mytilus galloprovincialis","W-Msc-140481"
-5.5,58.5,0.27,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,58.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
0,58.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
0.5,58.5,0.18,"Mytilus galloprovincialis","W-Msc-140481"
1,58.5,0.19,"Mytilus galloprovincialis","W-Msc-140481"
1.5,58.5,0.2,"Mytilus galloprovincialis","W-Msc-140481"
3,58.5,0.21,"Mytilus galloprovincialis","W-Msc-140481"
3.5,58.5,0.21,"Mytilus galloprovincialis","W-Msc-140481"
4,58.5,0.19,"Mytilus galloprovincialis","W-Msc-140481"
5.5,58.5,0.13,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,58,0.56,"Mytilus galloprovincialis","W-Msc-140481"
-8,58,0.51,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,58,0.44,"Mytilus galloprovincialis","W-Msc-140481"
-6,58,0.3,"Mytilus galloprovincialis","W-Msc-140481"
-5.5,58,0.2,"Mytilus galloprovincialis","W-Msc-140481"
-3.5,58,0.13,"Mytilus galloprovincialis","W-Msc-140481"
-3,58,0.12,"Mytilus galloprovincialis","W-Msc-140481"
-1.5,58,0.05,"Mytilus galloprovincialis","W-Msc-140481"
-1,58,0.18,"Mytilus galloprovincialis","W-Msc-140481"
-0.5,58,0.18,"Mytilus galloprovincialis","W-Msc-140481"
0,58,0.22,"Mytilus galloprovincialis","W-Msc-140481"
0.5,58,0.22,"Mytilus galloprovincialis","W-Msc-140481"
1,58,0.24,"Mytilus galloprovincialis","W-Msc-140481"
1.5,58,0.25,"Mytilus galloprovincialis","W-Msc-140481"
4,58,0.23,"Mytilus galloprovincialis","W-Msc-140481"
4.5,58,0.22,"Mytilus galloprovincialis","W-Msc-140481"
5,58,0.2,"Mytilus galloprovincialis","W-Msc-140481"
5.5,58,0.19,"Mytilus galloprovincialis","W-Msc-140481"
6,58,0.19,"Mytilus galloprovincialis","W-Msc-140481"
6.5,58,0.19,"Mytilus galloprovincialis","W-Msc-140481"
-9,57.5,0.6,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,57.5,0.56,"Mytilus galloprovincialis","W-Msc-140481"
-8,57.5,0.49,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,57.5,0.4,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,57.5,0.26,"Mytilus galloprovincialis","W-Msc-140481"
-6,57.5,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-4,57.5,0.14,"Mytilus galloprovincialis","W-Msc-140481"
-3.5,57.5,0.08,"Mytilus galloprovincialis","W-Msc-140481"
-1.5,57.5,0.1,"Mytilus galloprovincialis","W-Msc-140481"
0.5,57.5,0.25,"Mytilus galloprovincialis","W-Msc-140481"
1,57.5,0.26,"Mytilus galloprovincialis","W-Msc-140481"
1.5,57.5,0.26,"Mytilus galloprovincialis","W-Msc-140481"
5.5,57.5,0.26,"Mytilus galloprovincialis","W-Msc-140481"
6,57.5,0.26,"Mytilus galloprovincialis","W-Msc-140481"
6.5,57.5,0.25,"Mytilus galloprovincialis","W-Msc-140481"
7,57.5,0.25,"Mytilus galloprovincialis","W-Msc-140481"
7.5,57.5,0.24,"Mytilus galloprovincialis","W-Msc-140481"
8,57.5,0.25,"Mytilus galloprovincialis","W-Msc-140481"
8.5,57.5,0.28,"Mytilus galloprovincialis","W-Msc-140481"
9,57.5,0.3,"Mytilus galloprovincialis","W-Msc-140481"
9.5,57.5,0.31,"Mytilus galloprovincialis","W-Msc-140481"
-9,57,0.64,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,57,0.61,"Mytilus galloprovincialis","W-Msc-140481"
-8,57,0.53,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,57,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-7,57,0.36,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,57,0.34,"Mytilus galloprovincialis","W-Msc-140481"
-5.5,57,0.24,"Mytilus galloprovincialis","W-Msc-140481"
-2,57,0.09,"Mytilus galloprovincialis","W-Msc-140481"
7,57,0.3,"Mytilus galloprovincialis","W-Msc-140481"
7.5,57,0.31,"Mytilus galloprovincialis","W-Msc-140481"
8,57,0.32,"Mytilus galloprovincialis","W-Msc-140481"
-9,56.5,0.69,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,56.5,0.63,"Mytilus galloprovincialis","W-Msc-140481"
-8,56.5,0.54,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,56.5,0.46,"Mytilus galloprovincialis","W-Msc-140481"
-7,56.5,0.45,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,56.5,0.42,"Mytilus galloprovincialis","W-Msc-140481"
-2.5,56.5,0.08,"Mytilus galloprovincialis","W-Msc-140481"
-2,56.5,0.04,"Mytilus galloprovincialis","W-Msc-140481"
0,56.5,0.27,"Mytilus galloprovincialis","W-Msc-140481"
0.5,56.5,0.29,"Mytilus galloprovincialis","W-Msc-140481"
1,56.5,0.22,"Mytilus galloprovincialis","W-Msc-140481"
-9,56,0.73,"Mytilus galloprovincialis","W-Msc-140481"
-8.5,56,0.68,"Mytilus galloprovincialis","W-Msc-140481"
-8,56,0.62,"Mytilus galloprovincialis","W-Msc-140481"
-7.5,56,0.59,"Mytilus galloprovincialis","W-Msc-140481"
-7,56,0.52,"Mytilus galloprovincialis","W-Msc-140481"
-6.5,56,0.42,"Mytilus galloprovincialis","W-Msc-140481"
