"long_dd","lat_dd","poccur","species","aquamaps_id"
20,80.5,0.01,"Mytilus trossulus","W-Msc-140482"
20.5,80.5,0.01,"Mytilus trossulus","W-Msc-140482"
21,80.5,0.01,"Mytilus trossulus","W-Msc-140482"
14.5,80,0.07,"Mytilus trossulus","W-Msc-140482"
15,80,0.07,"Mytilus trossulus","W-Msc-140482"
16.5,80,0.07,"Mytilus trossulus","W-Msc-140482"
17,80,0.06,"Mytilus trossulus","W-Msc-140482"
17.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
18,80,0.05,"Mytilus trossulus","W-Msc-140482"
18.5,80,0.04,"Mytilus trossulus","W-Msc-140482"
19,80,0.03,"Mytilus trossulus","W-Msc-140482"
19.5,80,0.02,"Mytilus trossulus","W-Msc-140482"
20,80,0.02,"Mytilus trossulus","W-Msc-140482"
20.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
21,80,0.01,"Mytilus trossulus","W-Msc-140482"
21.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
22,80,0.01,"Mytilus trossulus","W-Msc-140482"
22.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
23,80,0.01,"Mytilus trossulus","W-Msc-140482"
23.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
46.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
47,80,0.01,"Mytilus trossulus","W-Msc-140482"
47.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
48,80,0.01,"Mytilus trossulus","W-Msc-140482"
48.5,80,0.01,"Mytilus trossulus","W-Msc-140482"
11,79.5,0.2,"Mytilus trossulus","W-Msc-140482"
11.5,79.5,0.19,"Mytilus trossulus","W-Msc-140482"
12,79.5,0.18,"Mytilus trossulus","W-Msc-140482"
12.5,79.5,0.16,"Mytilus trossulus","W-Msc-140482"
13,79.5,0.15,"Mytilus trossulus","W-Msc-140482"
13.5,79.5,0.15,"Mytilus trossulus","W-Msc-140482"
14,79.5,0.15,"Mytilus trossulus","W-Msc-140482"
14.5,79.5,0.15,"Mytilus trossulus","W-Msc-140482"
15,79.5,0.15,"Mytilus trossulus","W-Msc-140482"
15.5,79.5,0.14,"Mytilus trossulus","W-Msc-140482"
16,79.5,0.1,"Mytilus trossulus","W-Msc-140482"
17,79.5,0.07,"Mytilus trossulus","W-Msc-140482"
17.5,79.5,0.07,"Mytilus trossulus","W-Msc-140482"
18,79.5,0.06,"Mytilus trossulus","W-Msc-140482"
18.5,79.5,0.05,"Mytilus trossulus","W-Msc-140482"
19,79.5,0.04,"Mytilus trossulus","W-Msc-140482"
19.5,79.5,0.03,"Mytilus trossulus","W-Msc-140482"
20,79.5,0.03,"Mytilus trossulus","W-Msc-140482"
20.5,79.5,0.02,"Mytilus trossulus","W-Msc-140482"
21,79.5,0.02,"Mytilus trossulus","W-Msc-140482"
21.5,79.5,0.02,"Mytilus trossulus","W-Msc-140482"
22,79.5,0.02,"Mytilus trossulus","W-Msc-140482"
26,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
26.5,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
27,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
27.5,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
49.5,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
50,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
50.5,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
51,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
51.5,79.5,0.01,"Mytilus trossulus","W-Msc-140482"
11,79,0.24,"Mytilus trossulus","W-Msc-140482"
11.5,79,0.22,"Mytilus trossulus","W-Msc-140482"
12,79,0.21,"Mytilus trossulus","W-Msc-140482"
12.5,79,0.21,"Mytilus trossulus","W-Msc-140482"
14,79,0.2,"Mytilus trossulus","W-Msc-140482"
