"long_dd","lat_dd","poccur","species","aquamaps_id"
-144.5,59.5,0.83,"Panopea generosa","W-Msc-545994"
-144,59.5,0.84,"Panopea generosa","W-Msc-545994"
-143.5,59.5,0.87,"Panopea generosa","W-Msc-545994"
-143,59.5,0.61,"Panopea generosa","W-Msc-545994"
-142.5,59.5,0.19,"Panopea generosa","W-Msc-545994"
-142,59.5,0.87,"Panopea generosa","W-Msc-545994"
-141.5,59.5,0.85,"Panopea generosa","W-Msc-545994"
-141,59.5,0.85,"Panopea generosa","W-Msc-545994"
-140,59.5,0.82,"Panopea generosa","W-Msc-545994"
-139.5,59.5,0.8,"Panopea generosa","W-Msc-545994"
-140,59,0.31,"Panopea generosa","W-Msc-545994"
-139.5,59,0.9,"Panopea generosa","W-Msc-545994"
-139,59,0.88,"Panopea generosa","W-Msc-545994"
-139,58.5,0.18,"Panopea generosa","W-Msc-545994"
-138.5,58.5,0.78,"Panopea generosa","W-Msc-545994"
-138,58.5,0.9,"Panopea generosa","W-Msc-545994"
-137.5,58.5,0.84,"Panopea generosa","W-Msc-545994"
-137,58.5,0.79,"Panopea generosa","W-Msc-545994"
-136,58.5,0.69,"Panopea generosa","W-Msc-545994"
-135,58.5,0.7,"Panopea generosa","W-Msc-545994"
-139,58,0.93,"Panopea generosa","W-Msc-545994"
-138.5,58,0.93,"Panopea generosa","W-Msc-545994"
-138,58,0.81,"Panopea generosa","W-Msc-545994"
-137,58,0.88,"Panopea generosa","W-Msc-545994"
-136.5,58,0.82,"Panopea generosa","W-Msc-545994"
-136,58,0.74,"Panopea generosa","W-Msc-545994"
-135.5,58,0.7,"Panopea generosa","W-Msc-545994"
-135,58,0.71,"Panopea generosa","W-Msc-545994"
-134.5,58,0.69,"Panopea generosa","W-Msc-545994"
-134,58,0.68,"Panopea generosa","W-Msc-545994"
-136.5,57.5,0.91,"Panopea generosa","W-Msc-545994"
-136,57.5,0.86,"Panopea generosa","W-Msc-545994"
-135.5,57.5,0.79,"Panopea generosa","W-Msc-545994"
-135,57.5,0.75,"Panopea generosa","W-Msc-545994"
-134.5,57.5,0.71,"Panopea generosa","W-Msc-545994"
-134,57.5,0.68,"Panopea generosa","W-Msc-545994"
-133.5,57.5,0.67,"Panopea generosa","W-Msc-545994"
-136,57,0.92,"Panopea generosa","W-Msc-545994"
-135.5,57,0.87,"Panopea generosa","W-Msc-545994"
-135,57,0.8,"Panopea generosa","W-Msc-545994"
-134.5,57,0.72,"Panopea generosa","W-Msc-545994"
-134,57,0.7,"Panopea generosa","W-Msc-545994"
-133.5,57,0.67,"Panopea generosa","W-Msc-545994"
-133,57,0.68,"Panopea generosa","W-Msc-545994"
-135.5,56.5,0.91,"Panopea generosa","W-Msc-545994"
-135,56.5,0.87,"Panopea generosa","W-Msc-545994"
-134.5,56.5,0.74,"Panopea generosa","W-Msc-545994"
-134,56.5,0.73,"Panopea generosa","W-Msc-545994"
-133.5,56.5,0.71,"Panopea generosa","W-Msc-545994"
-133,56.5,0.73,"Panopea generosa","W-Msc-545994"
-132.5,56.5,0.75,"Panopea generosa","W-Msc-545994"
-135,56,0.54,"Panopea generosa","W-Msc-545994"
