"long_dd","lat_dd","poccur","species","aquamaps_id"
-148.5,60.5,0.26,"Saxidomus gigantea","W-Msc-546014"
-148,60.5,0.61,"Saxidomus gigantea","W-Msc-546014"
-147.5,60.5,0.6,"Saxidomus gigantea","W-Msc-546014"
-147,60.5,0.72,"Saxidomus gigantea","W-Msc-546014"
-146.5,60.5,1,"Saxidomus gigantea","W-Msc-546014"
-146,60.5,0.07,"Saxidomus gigantea","W-Msc-546014"
-149,60,0.41,"Saxidomus gigantea","W-Msc-546014"
-148.5,60,0.2,"Saxidomus gigantea","W-Msc-546014"
-148,60,0.97,"Saxidomus gigantea","W-Msc-546014"
-147.5,60,0.72,"Saxidomus gigantea","W-Msc-546014"
-147,60,0.8,"Saxidomus gigantea","W-Msc-546014"
-146.5,60,0.94,"Saxidomus gigantea","W-Msc-546014"
-146,60,1,"Saxidomus gigantea","W-Msc-546014"
-145.5,60,1,"Saxidomus gigantea","W-Msc-546014"
-145,60,1,"Saxidomus gigantea","W-Msc-546014"
-144.5,60,1,"Saxidomus gigantea","W-Msc-546014"
-144,60,0.17,"Saxidomus gigantea","W-Msc-546014"
-153,59.5,0.44,"Saxidomus gigantea","W-Msc-546014"
-152.5,59.5,0.42,"Saxidomus gigantea","W-Msc-546014"
-152,59.5,0.22,"Saxidomus gigantea","W-Msc-546014"
-151.5,59.5,0.26,"Saxidomus gigantea","W-Msc-546014"
-150,59.5,0.11,"Saxidomus gigantea","W-Msc-546014"
-149.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-149,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-148.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-148,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-147.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-147,59.5,0.98,"Saxidomus gigantea","W-Msc-546014"
-146.5,59.5,0.29,"Saxidomus gigantea","W-Msc-546014"
-146,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-144.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-144,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-143.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-142,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-141.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-141,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-140.5,59.5,0.93,"Saxidomus gigantea","W-Msc-546014"
-140,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-139.5,59.5,1,"Saxidomus gigantea","W-Msc-546014"
-139,59.5,0.04,"Saxidomus gigantea","W-Msc-546014"
-154,59,0.22,"Saxidomus gigantea","W-Msc-546014"
-153.5,59,0.41,"Saxidomus gigantea","W-Msc-546014"
-153,59,0.69,"Saxidomus gigantea","W-Msc-546014"
-152.5,59,0.83,"Saxidomus gigantea","W-Msc-546014"
-152,59,0.5,"Saxidomus gigantea","W-Msc-546014"
-151.5,59,0.84,"Saxidomus gigantea","W-Msc-546014"
-151,59,1,"Saxidomus gigantea","W-Msc-546014"
-150.5,59,1,"Saxidomus gigantea","W-Msc-546014"
-150,59,1,"Saxidomus gigantea","W-Msc-546014"
-146,59,0.95,"Saxidomus gigantea","W-Msc-546014"
-139.5,59,1,"Saxidomus gigantea","W-Msc-546014"
-139,59,1,"Saxidomus gigantea","W-Msc-546014"
-138.5,59,0.92,"Saxidomus gigantea","W-Msc-546014"
-138,59,0.5,"Saxidomus gigantea","W-Msc-546014"
-154,58.5,0.25,"Saxidomus gigantea","W-Msc-546014"
-153.5,58.5,0.87,"Saxidomus gigantea","W-Msc-546014"
-153,58.5,0.99,"Saxidomus gigantea","W-Msc-546014"
-152.5,58.5,0.78,"Saxidomus gigantea","W-Msc-546014"
-152,58.5,0.83,"Saxidomus gigantea","W-Msc-546014"
-151.5,58.5,0.74,"Saxidomus gigantea","W-Msc-546014"
-138,58.5,1,"Saxidomus gigantea","W-Msc-546014"
-137.5,58.5,1,"Saxidomus gigantea","W-Msc-546014"
-137,58.5,1,"Saxidomus gigantea","W-Msc-546014"
-136.5,58.5,0.99,"Saxidomus gigantea","W-Msc-546014"
-136,58.5,1,"Saxidomus gigantea","W-Msc-546014"
-135.5,58.5,0.95,"Saxidomus gigantea","W-Msc-546014"
-135,58.5,1,"Saxidomus gigantea","W-Msc-546014"
