"long_dd","lat_dd","poccur","species","aquamaps_id"
-148.5,60.5,0.02,"Trachurus symmetricus","Fis-22970"
-148,60.5,0.42,"Trachurus symmetricus","Fis-22970"
-147.5,60.5,0.44,"Trachurus symmetricus","Fis-22970"
-147,60.5,0.47,"Trachurus symmetricus","Fis-22970"
-146.5,60.5,0.49,"Trachurus symmetricus","Fis-22970"
-148.5,60,0.01,"Trachurus symmetricus","Fis-22970"
-148,60,0.45,"Trachurus symmetricus","Fis-22970"
-147.5,60,0.47,"Trachurus symmetricus","Fis-22970"
-147,60,0.52,"Trachurus symmetricus","Fis-22970"
-146.5,60,0.55,"Trachurus symmetricus","Fis-22970"
-146,60,0.54,"Trachurus symmetricus","Fis-22970"
-145.5,60,0.51,"Trachurus symmetricus","Fis-22970"
-145,60,0.4,"Trachurus symmetricus","Fis-22970"
-144.5,60,0.27,"Trachurus symmetricus","Fis-22970"
-149.5,59.5,0.47,"Trachurus symmetricus","Fis-22970"
-149,59.5,0.5,"Trachurus symmetricus","Fis-22970"
-148.5,59.5,0.51,"Trachurus symmetricus","Fis-22970"
-148,59.5,0.52,"Trachurus symmetricus","Fis-22970"
-147.5,59.5,0.53,"Trachurus symmetricus","Fis-22970"
-147,59.5,0.56,"Trachurus symmetricus","Fis-22970"
-146.5,59.5,0.58,"Trachurus symmetricus","Fis-22970"
-146,59.5,0.59,"Trachurus symmetricus","Fis-22970"
-145.5,59.5,0.59,"Trachurus symmetricus","Fis-22970"
-145,59.5,0.59,"Trachurus symmetricus","Fis-22970"
-144.5,59.5,0.57,"Trachurus symmetricus","Fis-22970"
-144,59.5,0.56,"Trachurus symmetricus","Fis-22970"
-143.5,59.5,0.61,"Trachurus symmetricus","Fis-22970"
-143,59.5,0.63,"Trachurus symmetricus","Fis-22970"
-142.5,59.5,0.62,"Trachurus symmetricus","Fis-22970"
-142,59.5,0.62,"Trachurus symmetricus","Fis-22970"
-141.5,59.5,0.6,"Trachurus symmetricus","Fis-22970"
-141,59.5,0.58,"Trachurus symmetricus","Fis-22970"
-140,59.5,0.53,"Trachurus symmetricus","Fis-22970"
-139.5,59.5,0.51,"Trachurus symmetricus","Fis-22970"
-151,59,0.41,"Trachurus symmetricus","Fis-22970"
-150.5,59,0.47,"Trachurus symmetricus","Fis-22970"
-150,59,0.49,"Trachurus symmetricus","Fis-22970"
